id,value,station_id,parameter_id,unix_timestamp,norm_time,norm_value
5651370932,0.0,1161114064,142,1492473619000000000,-12.011193449031111,-1.0003342245989304
5651370931,1.0,1161114064,142,1492473619000000000,-12.011193449031111,1.0
5651371197,0.0,1161114064,142,1492473626000000000,-12.009249004586668,-1.0003342245989304
5651371196,1.0,1161114064,142,1492473626000000000,-12.009249004586668,1.0
5651373873,1.0,1161114064,142,1492473691000000000,-11.991193449031112,1.0
5651373874,0.0,1161114064,142,1492473692000000000,-11.990915671253333,-1.0003342245989304
5651375435,1.0,1161114064,142,1492473728000000000,-11.980915671253333,1.0
5651375437,0.0,1161114064,142,1492473728000000000,-11.980915671253333,-1.0003342245989304
5651375501,0.0,1161114064,142,1492473729000000000,-11.980637893475556,-1.0003342245989304
5651375438,1.0,1161114064,142,1492473729000000000,-11.980637893475556,1.0
5651376529,1.0,1161114064,142,1492473750000000000,-11.974804560142223,1.0
5651376530,0.0,1161114064,142,1492473750000000000,-11.974804560142223,-1.0003342245989304
5651377307,0.0,1161114064,142,1492473768000000000,-11.969804560142222,-1.0003342245989304
5651377306,1.0,1161114064,142,1492473768000000000,-11.969804560142222,1.0
5651377309,0.0,1161114064,142,1492473769000000000,-11.969526782364444,-1.0003342245989304
5651377308,1.0,1161114064,142,1492473769000000000,-11.969526782364444,1.0
5651377680,1.0,1161114064,142,1492473780000000000,-11.966471226808888,1.0
5651377682,0.0,1161114064,142,1492473780000000000,-11.966471226808888,-1.0003342245989304
5651378619,0.0,1161114064,142,1492473799000000000,-11.96119344903111,-1.0003342245989304
5651378618,1.0,1161114064,142,1492473799000000000,-11.96119344903111,1.0
5651379410,1.0,1161114064,142,1492473818000000000,-11.955915671253333,1.0
5651379412,1.0,1161114064,142,1492473819000000000,-11.955637893475556,1.0
5651379413,0.0,1161114064,142,1492473819000000000,-11.955637893475556,-1.0003342245989304
5651379411,0.0,1161114064,142,1492473819000000000,-11.955637893475556,-1.0003342245989304
5651379805,0.0,1161114064,142,1492473829000000000,-11.952860115697778,-1.0003342245989304
5651379804,1.0,1161114064,142,1492473829000000000,-11.952860115697778,1.0
5651382648,1.0,1161114064,142,1492473893000000000,-11.93508233792,1.0
5651382649,0.0,1161114064,142,1492473893000000000,-11.93508233792,-1.0003342245989304
5651386516,1.0,1161114064,142,1492473966000000000,-11.914804560142223,1.0
5651386517,0.0,1161114064,142,1492473967000000000,-11.914526782364444,-1.0003342245989304
5651387490,0.0,1161114064,142,1492473989000000000,-11.908415671253334,-1.0003342245989304
5651387489,1.0,1161114064,142,1492473989000000000,-11.908415671253334,1.0
5651389268,1.0,1161114064,142,1492474026000000000,-11.898137893475555,1.0
