norm_value,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6
-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106
-0.11885338261143913,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363
-0.19601568486050389,-0.11885338261143913,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715
-0.27317798710956864,-0.19601568486050389,-0.11885338261143913,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674
-0.3503402893586334,-0.27317798710956864,-0.19601568486050389,-0.11885338261143913,-0.003109929237841972,0.07405237301122279,-0.003109929237841972
-0.4275025916076982,-0.3503402893586334,-0.27317798710956864,-0.19601568486050389,-0.11885338261143913,-0.003109929237841972,0.07405237301122279
-0.31175913823410106,-0.4275025916076982,-0.3503402893586334,-0.27317798710956864,-0.19601568486050389,-0.11885338261143913,-0.003109929237841972
-0.2345968359850363,-0.31175913823410106,-0.4275025916076982,-0.3503402893586334,-0.27317798710956864,-0.19601568486050389,-0.11885338261143913
-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.4275025916076982,-0.3503402893586334,-0.27317798710956864,-0.19601568486050389
-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.4275025916076982,-0.3503402893586334,-0.27317798710956864
-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.4275025916076982,-0.3503402893586334
0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.4275025916076982
-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106
-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363
-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715
-0.2345968359850363,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674
-0.31175913823410106,-0.2345968359850363,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972
-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279
-0.4660837427322306,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972
-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.1574345337359715,-0.08027223148690674
-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.1574345337359715
-0.1574345337359715,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363
-0.2345968359850363,-0.1574345337359715,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.31175913823410106
-0.08027223148690674,-0.2345968359850363,-0.1574345337359715,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658
-0.003109929237841972,-0.08027223148690674,-0.2345968359850363,-0.1574345337359715,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306
0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.2345968359850363,-0.1574345337359715,-0.31175913823410106,-0.3889214404831658
-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.2345968359850363,-0.1574345337359715,-0.31175913823410106
-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.2345968359850363,-0.1574345337359715
-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.2345968359850363
-0.31175913823410106,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674
-0.2345968359850363,-0.31175913823410106,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972
-0.3889214404831658,-0.2345968359850363,-0.31175913823410106,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279
-0.4660837427322306,-0.3889214404831658,-0.2345968359850363,-0.31175913823410106,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972
-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.2345968359850363,-0.31175913823410106,-0.1574345337359715,-0.08027223148690674
-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.2345968359850363,-0.31175913823410106,-0.1574345337359715
-0.19601568486050389,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.2345968359850363,-0.31175913823410106
-0.11885338261143913,-0.19601568486050389,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658,-0.2345968359850363
-0.041691080362374365,-0.11885338261143913,-0.19601568486050389,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306,-0.3889214404831658
0.03547122188669041,-0.041691080362374365,-0.11885338261143913,-0.19601568486050389,-0.31175913823410106,-0.3889214404831658,-0.4660837427322306
0.11263352413575517,0.03547122188669041,-0.041691080362374365,-0.11885338261143913,-0.19601568486050389,-0.31175913823410106,-0.3889214404831658
0.03547122188669041,0.11263352413575517,0.03547122188669041,-0.041691080362374365,-0.11885338261143913,-0.19601568486050389,-0.31175913823410106
-0.041691080362374365,0.03547122188669041,0.11263352413575517,0.03547122188669041,-0.041691080362374365,-0.11885338261143913,-0.19601568486050389
-0.1574345337359715,-0.041691080362374365,0.03547122188669041,0.11263352413575517,0.03547122188669041,-0.041691080362374365,-0.11885338261143913
-0.2345968359850363,-0.1574345337359715,-0.041691080362374365,0.03547122188669041,0.11263352413575517,0.03547122188669041,-0.041691080362374365
-0.3889214404831658,-0.2345968359850363,-0.1574345337359715,-0.041691080362374365,0.03547122188669041,0.11263352413575517,0.03547122188669041
-0.31175913823410106,-0.3889214404831658,-0.2345968359850363,-0.1574345337359715,-0.041691080362374365,0.03547122188669041,0.11263352413575517
-0.4660837427322306,-0.31175913823410106,-0.3889214404831658,-0.2345968359850363,-0.1574345337359715,-0.041691080362374365,0.03547122188669041
-0.31175913823410106,-0.4660837427322306,-0.31175913823410106,-0.3889214404831658,-0.2345968359850363,-0.1574345337359715,-0.041691080362374365
-0.3889214404831658,-0.31175913823410106,-0.4660837427322306,-0.31175913823410106,-0.3889214404831658,-0.2345968359850363,-0.1574345337359715
-0.2345968359850363,-0.3889214404831658,-0.31175913823410106,-0.4660837427322306,-0.31175913823410106,-0.3889214404831658,-0.2345968359850363
-0.1574345337359715,-0.2345968359850363,-0.3889214404831658,-0.31175913823410106,-0.4660837427322306,-0.31175913823410106,-0.3889214404831658
-0.003109929237841972,-0.1574345337359715,-0.2345968359850363,-0.3889214404831658,-0.31175913823410106,-0.4660837427322306,-0.31175913823410106
-0.08027223148690674,-0.003109929237841972,-0.1574345337359715,-0.2345968359850363,-0.3889214404831658,-0.31175913823410106,-0.4660837427322306
0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.1574345337359715,-0.2345968359850363,-0.3889214404831658,-0.31175913823410106
-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.1574345337359715,-0.2345968359850363,-0.3889214404831658
-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.1574345337359715,-0.2345968359850363
-0.2345968359850363,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.1574345337359715
-0.1574345337359715,-0.2345968359850363,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972
-0.31175913823410106,-0.1574345337359715,-0.2345968359850363,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.08027223148690674
-0.3889214404831658,-0.31175913823410106,-0.1574345337359715,-0.2345968359850363,-0.08027223148690674,-0.003109929237841972,0.07405237301122279
-0.27317798710956864,-0.3889214404831658,-0.31175913823410106,-0.1574345337359715,-0.2345968359850363,-0.08027223148690674,-0.003109929237841972
-0.003109929237841972,-0.27317798710956864,-0.3889214404831658,-0.31175913823410106,-0.1574345337359715,-0.2345968359850363,-0.08027223148690674
-0.08027223148690674,-0.003109929237841972,-0.27317798710956864,-0.3889214404831658,-0.31175913823410106,-0.1574345337359715,-0.2345968359850363
0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.27317798710956864,-0.3889214404831658,-0.31175913823410106,-0.1574345337359715
-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.27317798710956864,-0.3889214404831658,-0.31175913823410106
-0.1574345337359715,-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.27317798710956864,-0.3889214404831658
-0.08027223148690674,-0.1574345337359715,-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972,-0.27317798710956864
-0.2345968359850363,-0.08027223148690674,-0.1574345337359715,-0.003109929237841972,0.07405237301122279,-0.08027223148690674,-0.003109929237841972
-0.31175913823410106,-0.2345968359850363,-0.08027223148690674,-0.1574345337359715,-0.003109929237841972,0.07405237301122279,-0.08027223148690674
-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.08027223148690674,-0.1574345337359715,-0.003109929237841972,0.07405237301122279
-0.31175913823410106,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.08027223148690674,-0.1574345337359715,-0.003109929237841972
-0.2345968359850363,-0.31175913823410106,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.08027223148690674,-0.1574345337359715
-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363,-0.08027223148690674
-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.3889214404831658,-0.31175913823410106,-0.2345968359850363
-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.3889214404831658,-0.31175913823410106
0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106,-0.3889214404831658
-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363,-0.31175913823410106
-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715,-0.2345968359850363
-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674,-0.1574345337359715
-0.27317798710956864,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972,-0.08027223148690674
-0.3503402893586334,-0.27317798710956864,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279,-0.003109929237841972
-0.4660837427322306,-0.3503402893586334,-0.27317798710956864,-0.1574345337359715,-0.08027223148690674,-0.003109929237841972,0.07405237301122279
